11
Pizza - Quantity: 1
Burger - Quantity: 1
Pasta - Quantity: 1
Sushi - Quantity: 1

Sushi - Quantity: 1

Pizza - Quantity: 1

Burger - Quantity: 1
Burger - Quantity: 1
Burger - Quantity: 1
Burger - Quantity: 1
Burger - Quantity: 1
Burger - Quantity: 1
Pasta - Quantity: 1
Pasta - Quantity: 1
Pasta - Quantity: 1
Pizza - Quantity: 1
Pizza - Quantity: 1
Pizza - Quantity: 1
Pizza - Quantity: 1
Pizza - Quantity: 1
Pizza - Quantity: 1
Pizza - Quantity: 1
Pizza - Quantity: 1
Pizza - Quantity: 111
Burger - Quantity: 123
Pizza - Quantity: 1
Pizza - Quantity: 12 - Total Price: $120.0
Pizza - Quantity: 1233 - Total Price: $12330.0
Pizza - Quantity: 666 - Total Price: $6660.0
Pizza - Quantity: 3123 - Total Price: $31230.0
Burger - Quantity: 333 - Total Price: $1665.0
